PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
47790663X	http://d-nb.info/gnd/1231251409	Viking, Nguza	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1231251409","_standard":"text":"Viking, Nguza"},"conceptName":"Viking, Nguza"}	028A	$4:cmp	Viking, Nguza		
47790663X	http://d-nb.info/gnd/3060496-5	Maquis du Zaire	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3060496-5","_standard":"text":"Maquis du Zaire"},"conceptName":"Maquis du Zaire"}	029F	$4:prf	Maquis du Zaire		
477907660	http://d-nb.info/gnd/1231251891	Mukundebo, Lukusa	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1231251891","_standard":"text":"Mukundebo, Lukusa"},"conceptName":"Mukundebo, Lukusa"}	028A	$4:cmp	Mukundebo, Lukusa		
477907660	http://d-nb.info/gnd/3060496-5	Maquis du Zaire	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3060496-5","_standard":"text":"Maquis du Zaire"},"conceptName":"Maquis du Zaire"}	029F	$4:prf	Maquis du Zaire		
477908934	http://d-nb.info/gnd/1231251409	Viking, Nguza	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1231251409","_standard":"text":"Viking, Nguza"},"conceptName":"Viking, Nguza"}	028C	$4:prf	Viking, Nguza		
477908934	http://d-nb.info/gnd/3060496-5	Maquis du Zaire	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3060496-5","_standard":"text":"Maquis du Zaire"},"conceptName":"Maquis du Zaire"}	029F	$4:prf	Maquis du Zaire		
477913784	http://d-nb.info/gnd/1231256672	Kikumbi Mwanza wa Mpango	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1231256672","_standard":"text":"Kikumbi Mwanza wa Mpango"},"conceptName":"Kikumbi Mwanza wa Mpango"}	028A	$4:cmp	Kikumbi Mwanza wa Mpango	1947-	
477913784	http://d-nb.info/gnd/3060496-5	Maquis du Zaire	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3060496-5","_standard":"text":"Maquis du Zaire"},"conceptName":"Maquis du Zaire"}	029F	$4:prf	Maquis du Zaire		
477914179	http://d-nb.info/gnd/			028A	$4:cmp	Banza, Ilunga		
477914179	http://d-nb.info/gnd/3060496-5	Maquis du Zaire	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3060496-5","_standard":"text":"Maquis du Zaire"},"conceptName":"Maquis du Zaire"}	029F	$4:prf	Maquis du Zaire		
